YYYYMM,US_Avg_Temp
199001,47.16
199002,48.15
199003,56.12
199004,64.99
199005,70.9
199006,83.25
199007,85.75
199008,84.9
199009,80.37
199010,67.23
199011,56.89
199012,41.86
199101,39.25
199102,51.6
199103,54.73
199104,64.4
199105,73.54
199106,81.3
199107,86.63
199108,85.71
199109,77.56
199110,68.09
199111,49.46
199112,45.37
199201,43.52
199202,50.07
199203,56.35
199204,64.96
199205,74.28
199206,79.77
199207,83.03
199208,82.35
199209,77.52
199210,67.6
199211,49.19
199212,40.87
199301,39.61
199302,41.31
199303,52.57
199304,61.84
199305,73.38
199306,79.27
199307,84.02
199308,84.22
199309,76.32
199310,65.34
199311,50.29
199312,44.02
199401,39.78
199402,43.07
199403,56.82
199404,65.61
199405,73.49
199406,83.93
199407,86.47
199408,85.23
199409,78.67
199410,65.91
199411,52.86
199412,45.7
199501,42.17
199502,48.79
199503,54.41
199504,61.5
199505,70.07
199506,79.84
199507,86.45
199508,87.12
199509,77.54
199510,67.48
199511,53.46
199512,43.29
199601,40.78
199602,47.16
199603,51.12
199604,63.72
199605,72.95
199606,82.65
199607,86.29
199608,85.21
199609,75.42
199610,66.07
199611,49.51
199612,43.68
199701,39.81
199702,46.08
199703,57.09
199704,59.86
199705,72.28
199706,80.42
199707,85.84
199708,84.15
199709,78.93
199710,66.24
199711,50.85
199712,43.05
199801,44.31
199802,47.82
199803,51.84
199804,63.46
199805,75.15
199806,80.35
199807,88.07
199808,86.95
199809,81.95
199810,66.92
199811,54.73
199812,45.99
199901,44.46
199902,50.76
199903,54.75
199904,63.43
199905,72.73
199906,80.37
199907,86.86
199908,85.93
199909,77.94
199910,68.88
199911,61.16
199912,47.1
200001,44.2
200002,51.19
200003,58.08
200004,65.77
200005,75.99
200006,81.59
200007,86.92
200008,87.33
200009,79.09
200010,67.17
200011,47.89
200012,38.53
200101,41.41
200102,44.46
200103,52.23
200104,65.43
200105,76.12
200106,82.02
200107,87.1
200108,87.42
200109,78.84
200110,67.51
200111,59.02
200112,46.17
200201,45.07
200202,48.54
200203,51.73
200204,65.95
200205,72.46
200206,83.98
200207,88.79
200208,85.95
200209,79.63
200210,62.58
200211,52.74
200212,44.87
200301,43.38
200302,43.14
200303,54.97
200304,64.27
200305,73.22
200306,80.53
200307,88.7
200308,87.42
200309,77.86
200310,69.71
200311,52.7
200312,45.45
200401,40.44
200402,43.77
200403,59.25
200404,65.37
200405,74.37
200406,80.38
200407,85.26
200408,82.53
200409,78.28
200410,66.36
200411,53.83
200412,45.52
200501,42.87
200502,48.15
200503,53.91
200504,65.16
200505,72.0
200506,81.48
200507,88.5
200508,85.95
200509,80.83
200510,67.44
200511,56.84
200512,42.78
200601,49.64
200602,46.69
200603,53.73
200604,68.45
200605,75.49
200606,84.09
200607,89.58
200608,86.13
200609,75.87
200610,64.67
200611,55.53
200612,47.1
200701,41.4
200702,42.89
200703,60.03
200704,62.83
200705,75.36
200706,82.92
200707,87.44
200708,87.48
200709,79.41
200710,68.99
200711,55.9
200712,42.98
200801,40.77
200802,46.02
200803,54.07
200804,63.46
200805,72.14
200806,82.63
200807,87.04
200808,84.94
200809,77.99
200810,66.81
200811,54.93
200812,42.6
200901,42.31
200902,48.51
200903,54.84
200904,63.41
200905,74.17
200906,80.56
200907,85.32
200908,84.6
200909,78.93
200910,60.89
200911,57.54
200912,38.98
201001,40.03
201002,41.16
201003,55.11
201004,66.15
201005,72.01
201006,82.58
201007,87.01
201008,86.83
201009,79.79
201010,69.44
201011,53.82
201012,42.03
201101,40.05
201102,44.42
201103,54.3
201104,64.2
201105,71.19
201106,82.71
201107,88.9
201108,88.36
201109,79.43
201110,67.8
201111,55.09
201112,45.52
201201,47.59
201202,48.07
201203,62.85
201204,67.64
201205,76.64
201206,84.2
201207,89.96
201208,87.39
201209,80.08
201210,66.07
201211,55.92
201212,45.82
201301,42.71
201302,45.46
201303,52.7
201304,62.06
201305,73.53
201306,82.99
201307,86.43
201308,85.39
201309,79.18
201310,65.32
201311,52.48
201312,41.52
201401,42.44
201402,43.02
201403,52.84
201404,64.56
201405,74.1
201406,81.81
201407,85.8
201408,84.22
201409,78.26
201410,69.39
201411,50.29
201412,45.34
201501,43.27
